prompt_id,prompt_variant,layer,lens,p_top1,top1_token_id,top1_token_str,p_answer,answer_rank,kl_norm_vs_raw_bits
pos,orig,21,norm,0.005979341454803944,3768,simply,0.0006625190144404769,29,0.5482688671433871
pos,orig,21,raw,4.665353844757192e-05,3768,simply,3.9751583244651556e-05,23,0.5482688671433871
pos,orig,22,norm,0.00465115113183856,981,“,0.001114442478865385,12,0.5035891073147736
pos,orig,22,raw,4.7677403927082196e-05,15389,kennis,4.28975181421265e-05,15,0.5035891073147736
pos,orig,23,norm,0.007117137778550386,3768,simply,0.001215876778587699,10,0.48840398514816735
pos,orig,23,raw,5.0973292673006654e-05,15389,kennis,4.400207762955688e-05,15,0.48840398514816735
pos,orig,24,norm,0.008985909633338451,3768,simply,0.0038866803515702486,6,0.6503041531041438
pos,orig,24,raw,5.27328229509294e-05,15389,kennis,4.9020185542758554e-05,5,0.6503041531041438
pos,orig,25,norm,0.03349851071834564,8430,Berlin,0.03349851071834564,1,1.1738671535074732
pos,orig,25,raw,6.561120244441554e-05,8430,Berlin,6.561120244441554e-05,1,1.1738671535074732
pos,orig,26,norm,0.042243458330631256,8430,Berlin,0.042243458330631256,1,1.2118312057982077
pos,orig,26,raw,7.308544445550069e-05,8430,Berlin,7.308544445550069e-05,1,1.2118312057982077
pos,orig,27,norm,0.06446804106235504,8430,Berlin,0.06446804106235504,1,1.4102088080108603
pos,orig,27,raw,7.999195076990873e-05,8430,Berlin,7.999195076990873e-05,1,1.4102088080108603
pos,orig,28,norm,0.04078865423798561,8430,Berlin,0.04078865423798561,1,1.3908395199314127
pos,orig,28,raw,8.774894376983866e-05,8430,Berlin,8.774894376983866e-05,1,1.3908395199314127
pos,orig,29,norm,0.07059735059738159,345,"""",0.06917604058980942,2,2.9569321128144415
pos,orig,29,raw,9.822088031796739e-05,8430,Berlin,9.822088031796739e-05,1,2.9569321128144415
pos,orig,30,norm,0.10250955820083618,981,“,0.05293168127536774,3,3.343816372993476
pos,orig,30,raw,0.00013321725418791175,8430,Berlin,0.00013321725418791175,1,3.343816372993476
pos,orig,31,norm,0.09347883611917496,345,"""",0.03668012097477913,3,3.0324723965182145
pos,orig,31,raw,0.00015307018475141376,8430,Berlin,0.00015307018475141376,1,3.0324723965182145
pos,orig,32,norm,0.38216397166252136,8430,Berlin,0.38216397166252136,1,8.556931440271716
pos,orig,32,raw,0.0002640995953697711,345,"""",0.00024059772840701044,3,8.556931440271716
pos,no_filler,14,norm,0.004792407155036926,22819,[…],1.995086859096773e-05,21782,0.2727843912602519
pos,no_filler,14,raw,3.4416942071402445e-05,22819,[…],3.090769678237848e-05,24299,0.2727843912602519
pos,no_filler,15,norm,0.007496905513107777,22819,[…],2.6307952794013545e-05,14784,0.3575605947698164
pos,no_filler,15,raw,3.493048279779032e-05,22819,[…],3.1198225769912824e-05,16401,0.3575605947698164
pos,no_filler,16,norm,0.0035424374509602785,22819,[…],4.1967366996686906e-05,6704,0.30462766699810434
pos,no_filler,16,raw,3.570214903447777e-05,21989,bekan,3.164723966619931e-05,9104,0.30462766699810434
pos,no_filler,17,norm,0.0024011763744056225,22819,[…],4.568009535432793e-05,5396,0.29714921640364866
pos,no_filler,17,raw,3.7681242247344926e-05,21989,bekan,3.190411371178925e-05,7138,0.29714921640364866
pos,no_filler,18,norm,0.004357478115707636,22819,[…],4.9815480451798066e-05,4449,0.38060491562205717
pos,no_filler,18,raw,3.828407352557406e-05,21989,bekan,3.2110856409417465e-05,5962,0.38060491562205717
pos,no_filler,19,norm,0.00187971955165267,22819,[…],0.00016827158106025308,154,0.3496388588927618
pos,no_filler,19,raw,3.820580604951829e-05,17149,biologie,3.4266369766555727e-05,520,0.3496388588927618
pos,no_filler,20,norm,0.0021978653967380524,5565,capital,0.0006353656644932926,12,0.3977237247236394
pos,no_filler,20,raw,4.09382555517368e-05,5565,capital,3.816889147856273e-05,22,0.3977237247236394
pos,no_filler,21,norm,0.007296221796423197,5565,capital,0.0013621591497212648,7,0.45621885089606234
pos,no_filler,21,raw,4.7457397158723325e-05,5565,capital,4.210097176837735e-05,16,0.45621885089606234
pos,no_filler,22,norm,0.0046872301027178764,5565,capital,0.0026539750397205353,3,0.4463319122632612
pos,no_filler,22,raw,4.815265492652543e-05,17149,biologie,4.609145616996102e-05,3,0.4463319122632612
pos,no_filler,23,norm,0.006140147801488638,5565,capital,0.003568834625184536,2,0.44202026421046786
pos,no_filler,23,raw,5.217266152612865e-05,17149,biologie,4.844207796850242e-05,3,0.44202026421046786
pos,no_filler,24,norm,0.010806862264871597,8430,Berlin,0.010806862264871597,1,0.5777429528786162
pos,no_filler,24,raw,5.569983477471396e-05,17149,biologie,5.3368952649179846e-05,2,0.5777429528786162
