prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,copy_strict@0.95,copy_strict@0.7,copy_strict@0.8,copy_strict@0.9,copy_soft_k1@0.5,copy_soft_k2@0.5,copy_soft_k3@0.5,entropy_collapse,is_answer,p_top1,p_top5,p_answer,teacher_entropy_bits,kl_to_final_bits,kl_to_final_bits_norm_temp,answer_rank,cos_to_final,cos_to_answer,cos_to_prompt_max,geom_crossover,echo_mass_prompt,answer_mass,answer_minus_echo_mass,mass_ratio_ans_over_prompt,topk_prompt_mass@50,control_margin
pos,orig,0,16,⟨NEXT⟩,16.85923194885254,orest,6.210063293110579e-05, Ups,4.810904647456482e-05,ael,4.3835440010298043e-05, Doyle,3.920350718544796e-05,_fast,3.889323124894872e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997678581421496,False,False,,,,False,False,False,False,False,6.210063293110579e-05,0.0002321418432984501,5.066099220130127e-06,2.5969505827619233,10.667391774832948,,105812,0.013827377930283546,,,,,,,,,
pos,orig,1,16,⟨NEXT⟩,16.663393020629883,ores,0.00018579313473310322, Gast,0.00016508066619280726,{/,0.00011646926577668637, Intern,0.00011461317626526579, intern,0.00010804620251292363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993099975545192,False,False,,,,False,False,False,False,False,0.00018579313473310322,0.0006900024600327015,6.157900315884035e-06,2.5969505827619233,10.772199378129951,,66788,-0.002326799789443612,,,,,,,,,
pos,orig,2,16,⟨NEXT⟩,16.74420928955078,orest,0.00010301647853339091, topo,8.996693213703111e-05,icle,8.869342127582058e-05,ores,8.74816469149664e-05,igan,8.005379640962929e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995507877247292,False,False,,,,False,False,False,False,False,0.00010301647853339091,0.0004492122679948807,5.7442371144134086e-06,2.5969505827619233,10.662344427995427,,78433,0.0003124908544123173,,,,,,,,,
pos,orig,3,16,⟨NEXT⟩,16.64076805114746,orest,0.00019594887271523476, Gast,0.00016946160758379847, Rap,0.0001375335268676281,eci,0.0001311731175519526, topo,0.0001231005444424227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999242782330839,False,False,,,,False,False,False,False,False,0.00019594887271523476,0.0007572176400572062,8.242787771450821e-06,2.5969505827619233,10.747828748572086,,42550,-0.017001118510961533,,,,,,,,,
pos,orig,4,16,⟨NEXT⟩,16.46669578552246, Bentley,0.00038451317232102156,orest,0.00021742196986451745,omer,0.00020742557535413653,eci,0.00020642548042815179, Rap,0.00020551522902678698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987786985730054,False,False,,,,False,False,False,False,False,0.00038451317232102156,0.0012213013833388686,4.612234988599084e-06,2.5969505827619233,10.90334990802491,,76406,-0.00885806418955326,,,,,,,,,
pos,orig,5,16,⟨NEXT⟩,16.434715270996094, Bentley,0.0003578070900402963,orest,0.0002488046884536743, processData,0.00024397288507316262, unarmed,0.00023555751249659806,omer,0.00023551878985017538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986783390340861,False,False,,,,False,False,False,False,False,0.0003578070900402963,0.001321661053225398,3.863071015075548e-06,2.5969505827619233,10.992578634876157,,85167,-0.007122344337403774,,,,,,,,,
pos,orig,6,16,⟨NEXT⟩,16.381237030029297,nock,0.00036393108894117177, unarmed,0.00032812231802381575, processData,0.00029163865838199854,�数,0.00028913989081047475,omer,0.0002858059306163341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984413621132262,False,False,,,,False,False,False,False,False,0.00036393108894117177,0.0015586379449814558,3.381314400030533e-06,2.5969505827619233,11.097107626278762,,89642,0.0009879362769424915,,,,,,,,,
pos,orig,7,16,⟨NEXT⟩,16.284765243530273, unarmed,0.0005492063937708735,bau,0.00044724828330799937, Booth,0.00037037208676338196, Gan,0.00036641754559241235, processData,0.0003648155543487519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9979019401362166,False,False,,,,False,False,False,False,False,0.0005492063937708735,0.0020980597473680973,6.028001735103317e-06,2.5969505827619233,11.112576433827966,,53131,-0.009765814058482647,,,,,,,,,
pos,orig,8,16,⟨NEXT⟩,16.557037353515625,uzzer,0.00022878065647091717,bau,0.0002050639159278944, unarmed,0.00018972475663758814,nock,0.0001893395819934085,hooks,0.00016674269863869995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990203483903315,False,False,,,,False,False,False,False,False,0.00022878065647091717,0.0009796516969799995,8.049484677030705e-06,2.5969505827619233,10.954119186559613,,42570,0.014455696567893028,,,,,,,,,
pos,orig,9,16,⟨NEXT⟩,16.58333969116211,uzzer,0.0002293143916176632, melee,0.00015904208703432232,createView,0.0001564795384183526,brook,0.0001532642636448145,bau,0.00014894513878971338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991529545804951,False,False,,,,False,False,False,False,False,0.0002293143916176632,0.0008470453904010355,8.659047125547659e-06,2.5969505827619233,10.930486018608649,,38327,-0.00043633364839479327,,,,,,,,,
