prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,copy_strict@0.95,copy_soft_k1@0.5,copy_soft_k2@0.5,copy_soft_k3@0.5,entropy_collapse,is_answer,p_top1,p_top5,p_answer,teacher_entropy_bits,kl_to_final_bits,kl_to_final_bits_norm_temp,answer_rank,cos_to_final,cos_to_answer,cos_to_prompt_max,geom_crossover,echo_mass_prompt,answer_mass,answer_minus_echo_mass,mass_ratio_ans_over_prompt,topk_prompt_mass@50,control_margin
pos,orig,1,16,⟨NEXT⟩,10.969782829284668,",",0.053795695304870605,.,0.04353254288434982,and,0.03386272117495537,the,0.019491685554385185,of,0.017837610095739365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8314797449856997,False,False,False,False,False,False,False,0.053795695304870605,0.1685202568769455,1.4924533388693817e-05,3.611043703834712,5.830317805562144,,8499,0.8742647171020508,-0.07880279421806335,0.24529562890529633,False,0.046981152841908624,1.4924533388693817e-05,-0.04696622830851993,0.0003176706438269866,0.04441386694088578,
pos,orig,2,16,⟨NEXT⟩,12.087456703186035,and,0.045487482100725174,",",0.023205628618597984,.,0.022458089515566826,of,0.018228355795145035,to,0.01183339674025774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8787870472297072,False,False,False,False,False,False,False,0.045487482100725174,0.12121295928955078,1.06831221273751e-05,3.611043703834712,6.667394515564021,,14019,0.8591676950454712,-0.04523675516247749,0.13461697101593018,False,0.03458044198487187,1.06831221273751e-05,-0.03456975886274449,0.00030893537517864405,0.03238115145359188,
pos,orig,3,16,⟨NEXT⟩,12.153176307678223,",",0.033338915556669235,.,0.023729193955659866,and,0.021334320306777954,"
",0.014384320005774498,the,0.012533813714981079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8946794364601374,False,False,False,False,False,False,False,0.033338915556669235,0.10532056540250778,1.5274827092071064e-05,3.611043703834712,6.442389613440207,,11115,0.8692141771316528,-0.04700694978237152,0.14464464783668518,False,0.03091178036356723,1.5274827092071064e-05,-0.03089650553647516,0.0004941425701876258,0.028966360143385828,
pos,orig,4,16,⟨NEXT⟩,12.011381149291992,",",0.02762495167553425,and,0.021598435938358307,"
",0.021109016612172127,.,0.02102585695683956,of,0.015180695801973343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8934610430151224,False,False,False,False,False,False,False,0.02762495167553425,0.10653895884752274,1.320161118201213e-05,3.611043703834712,6.423330496071592,,11697,0.8659508228302002,-0.04432344064116478,0.1344630867242813,False,0.034400809945509536,1.320161118201213e-05,-0.034387608334327524,0.0003837587201918967,0.03157385403756052,
pos,orig,5,16,⟨NEXT⟩,11.358776092529297,",",0.043654926121234894,and,0.027915021404623985,"
",0.02680433727800846,.,0.023431122303009033,to,0.02037566527724266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857818927615881,False,False,False,False,False,False,False,0.043654926121234894,0.14218106865882874,1.1911492038052529e-05,3.611043703834712,6.098134692930538,,10919,0.8633335828781128,-0.04071525111794472,0.12820646166801453,False,0.040704495477257296,1.1911492038052529e-05,-0.040692583985219244,0.00029263332233351176,0.03900951589457691,
pos,orig,6,16,⟨NEXT⟩,11.440058708190918,",",0.03189219534397125,.,0.023898351937532425,and,0.02284935675561428,a,0.021763162687420845,to,0.02117336168885231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8784235715866089,False,False,False,False,False,False,False,0.03189219534397125,0.12157642841339111,1.4663183719676454e-05,3.611043703834712,6.111164786490507,,9275,0.8646991848945618,-0.03786128759384155,0.13101904094219208,False,0.04009164005583443,1.4663183719676454e-05,-0.040076976872114756,0.00036574166917376804,0.037140135769732296,
pos,orig,7,16,⟨NEXT⟩,12.033367156982422,and,0.026006968691945076,",",0.02191639132797718,.,0.017552318051457405,to,0.01546427235007286,a,0.01380002498626709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9052600245922804,False,False,False,False,False,False,False,0.026006968691945076,0.09473997354507446,1.929602694872301e-05,3.611043703834712,6.588620958024026,,8529,0.8568912148475647,-0.029602978378534317,0.11888705939054489,False,0.034650312753001344,1.929602694872301e-05,-0.03463101672605262,0.0005568788521302098,0.02969370479695499,
pos,orig,8,16,⟨NEXT⟩,11.441202163696289,",",0.03497515991330147,.,0.024943552911281586,and,0.022979209199547768,-,0.01989586651325226,"
",0.01947910524904728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8777271062135696,False,False,False,False,False,False,False,0.03497515991330147,0.12227289378643036,1.9486573364702053e-05,3.611043703834712,6.218887151754333,,7393,0.8573310375213623,-0.030416114255785942,0.1316833645105362,False,0.04570568567942246,1.9486573364702053e-05,-0.04568619910605776,0.00042634899025541316,0.042589294258505106,
pos,orig,9,16,⟨NEXT⟩,11.02149486541748,and,0.04527835547924042,",",0.0386100672185421,-,0.02915702946484089,to,0.02299579232931137,.,0.02066505141556263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8432937040925026,False,False,False,False,False,False,False,0.04527835547924042,0.156706303358078,1.4588652447855566e-05,3.611043703834712,6.149974391484209,,8616,0.8498824238777161,-0.029416382312774658,0.11543948948383331,False,0.040839256731487694,1.4588652447855566e-05,-0.04082466807903984,0.00035722129289846255,0.03838002297561616,
pos,orig,10,16,⟨NEXT⟩,11.197073936462402,",",0.03842592611908913,and,0.03600665181875229,-,0.023891031742095947,.,0.02236170880496502,the,0.018924422562122345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8603902589529753,False,False,False,False,False,False,False,0.03842592611908913,0.13960973918437958,1.1648782674456015e-05,3.611043703834712,6.136753741147083,,11000,0.852867603302002,-0.03518848493695259,0.12303876876831055,False,0.04035765985281614,1.1648782674456015e-05,-0.040346011070141685,0.0002886386977912068,0.03633343381807208,
