prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,entropy_collapse,is_answer,p_top1,p_top5,p_answer,kl_to_final_bits,answer_rank,cos_to_final,control_margin
pos,orig,0,16,⟨NEXT⟩,16.956819534301758,itzer,1.4627717064286117e-05,ikers,1.344251631962834e-05,itchens,1.3402045624388848e-05,�,1.3254774785309564e-05, Hem,1.3105850484862458e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999321670957215,False,False,False,1.4627717064286117e-05,6.783290154999122e-05,8.718548087927047e-06,11.56696698015837,21905,0.16799132525920868,
pos,orig,1,16,⟨NEXT⟩,16.94176483154297,mente,2.1048193957540207e-05,gın,2.0192141164443456e-05,tdown,1.9901259292964824e-05,GetComponent,1.926072218338959e-05,tons,1.9259028704254888e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999003386546974,False,False,False,2.1048193957540207e-05,9.966133802663535e-05,8.089993571047671e-06,11.680713553716616,48759,-0.03330327570438385,
pos,orig,2,16,⟨NEXT⟩,16.87640380859375,mente,5.426699135568924e-05,tics,4.7482153604505584e-05,tons,4.648944741347805e-05,tones,4.237136818119325e-05,éré,3.727855801116675e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999772111481434,False,False,False,5.426699135568924e-05,0.00022788852220401168,8.94576351129217e-06,11.733034803692703,35748,-0.005512922070920467,
pos,orig,3,16,⟨NEXT⟩,16.893569946289062,tones,3.6705765523947775e-05," ($(""#",3.36874982167501e-05,interp,3.162787834298797e-05,936,3.0281076760729775e-05,aires,3.0258932383731008e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998374388487719,False,False,False,3.6705765523947775e-05,0.00016256114759016782,9.647527804190759e-06,11.610519866662866,25757,0.08909882605075836,
pos,orig,4,16,⟨NEXT⟩,16.899089813232422,interp,3.7058471207274124e-05,tones,3.53921132045798e-05," ($(""#",3.502872641547583e-05,aires,3.320050018373877e-05,tons,3.193385055055842e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998273863384384,False,False,False,3.7058471207274124e-05,0.00017261365428566933,7.92320952314185e-06,11.739329368714282,53285,-0.03275877609848976,
pos,orig,5,16,⟨NEXT⟩,16.87306022644043,�,6.732951442245394e-05,tons,5.081459312350489e-05,tones,4.71244020445738e-05,macros,4.5559529098682106e-05,interp,4.328750947024673e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997458844518405,False,False,False,6.732951442245394e-05,0.0002541155554354191,8.784785677562468e-06,11.741137250340152,38263,-0.004974663257598877,
pos,orig,6,16,⟨NEXT⟩,16.879730224609375,tons,4.1365132346982136e-05,tones,3.564272265066393e-05,ๆ,3.459793151705526e-05,alık,3.426905823289417e-05,macros,3.418942651478574e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998199357287376,False,False,False,4.1365132346982136e-05,0.00018006427853833884,7.70005863159895e-06,11.7320373043177,56751,-0.005095489323139191,
pos,orig,7,16,⟨NEXT⟩,16.880586624145508,Exited,3.970113175455481e-05, bul,3.895506597473286e-05,AllowAnonymous,3.7912785046501085e-05,��,3.432476660236716e-05,BaseContext,3.3607295335968956e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998154989552859,False,False,False,3.970113175455481e-05,0.0001845010556280613,8.70852090884e-06,11.639485872651784,39477,0.0686618983745575,
pos,orig,8,16,⟨NEXT⟩,16.86243438720703,надлеж,5.799696737085469e-05,apı,5.090643753646873e-05,biased,4.9103258788818493e-05,�单,4.471925785765052e-05,Deserializer,4.462964352569543e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997526444349205,False,False,False,5.799696737085469e-05,0.00024735555052757263,1.033910120895598e-05,11.806646129984399,21603,-0.04654908925294876,
pos,orig,9,16,⟨NEXT⟩,16.866621017456055,biased,4.5084914745530114e-05,�单,4.505292963585816e-05,"♪

",3.884025863953866e-05,tons,3.8729624066036195e-05,RITE,3.828781336778775e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997940044595452,False,False,False,4.5084914745530114e-05,0.0002059955440927297,1.5396011804114096e-05,11.751600674818645,3095,-0.010282410308718681,
pos,orig,10,16,⟨NEXT⟩,16.850629806518555,tons,6.175688758958131e-05,biased,5.008099105907604e-05,abcdefghijklmnop,4.9595484597375616e-05,paced,4.802934199688025e-05,wel,4.608096060110256e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999744456334156,False,False,False,6.175688758958131e-05,0.000255543680395931,1.2987701666133944e-05,11.619590919599974,8826,0.09491480886936188,
pos,orig,11,16,⟨NEXT⟩,16.854135513305664,tons,4.994481787434779e-05, Gott,4.540574082056992e-05,283,3.894672045134939e-05,paced,3.8249250792432576e-05, Hanson,3.763247514143586e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997898209949199,False,False,False,4.994481787434779e-05,0.00021017901599407196,1.5150740182434674e-05,11.526672132991816,3954,0.15419301390647888,
pos,orig,12,16,⟨NEXT⟩,16.876976013183594,LEGAL,3.6158999137114733e-05,283,3.489412119961344e-05,龄,3.4803946618922055e-05,macros,3.476326310192235e-05,tons,3.4583641536301e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998247960284061,False,False,False,3.6158999137114733e-05,0.00017520396795589477,1.0936209946521558e-05,11.566693183778195,16088,0.1246941015124321,
pos,orig,13,16,⟨NEXT⟩,16.843040466308594,macros,5.123610026203096e-05, ifndef,4.819437526748516e-05,][_,4.545204865280539e-05,ToPoint,4.495179746299982e-05,CLUD,4.4552205508807674e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997656134728459,False,False,False,5.123610026203096e-05,0.00023438651987817138,1.213335053762421e-05,11.715912210972803,12627,0.033408455550670624,
