layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
0,0,Give,9.993349114404188,spr,0.03254886344075203,KT,0.018401458859443665,明知,0.016112860292196274,"',)
",0.015987468883395195,csi,0.015987468883395195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9009618796408176
0,1, the,8.641449218350528, inspected,0.10253601521253586, net,0.04015367850661278, interviewed,0.03381279110908508, complexion,0.033549658954143524,沱,0.03007371723651886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7598741389811039
0,2, city,9.090333568130907,Dat,0.07776110619306564, Dat,0.04607193544507027,asia,0.042609572410583496, custom,0.026250995695590973,还好,0.023166421800851822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7841399684548378
0,3, name,5.914163475441384,ýt,0.43797242641448975, translating,0.05149738863110542, skept,0.041057296097278595,calcul,0.02799864485859871,eting,0.02549305371940136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41598119027912617
0,4, only,9.084098853071827,挚,0.055953916162252426,一个小,0.03845652565360069,Atomic,0.0299499724060297, spark,0.0299499724060297,熊,0.027699196711182594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8179904166609049
0,5,",",10.688337197916228,POR,0.0499025359749794, PAD,0.03796384483575821, unchecked,0.03147313371300697,声誉,0.023388845846056938, inspections,0.019849855452775955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8374217841774225
0,6, plain,3.413036294278041,锣,0.6137649416923523,胞,0.13482627272605896, TSA,0.03685945272445679,lights,0.018679460510611534, Sax,0.008160450495779514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1877094218507409
0,7, text,8.35372843483248,MOVED,0.16149888932704926, dig,0.07809576392173767,Scaling,0.025552837178111076, bet,0.023817861452698708,blur,0.022550299763679504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6884843483567238
0,8,.,1.6906248864074866,чрежден,0.6442152261734009,蔊,0.24072562158107758,鲯,0.04118329659104347,堼,0.011436188593506813,榃,0.011258887127041817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05118077993392944
0,9, The,6.5723066837631805,范冰,0.11219576746225357, parallels,0.09157151728868484,谢韵,0.07955871522426605,谷爱,0.060999780893325806,柴纳,0.05383211746811867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6018421016633511
0,10, capital,9.95619879802601, TERMS,0.05368747562170029,果然,0.023090694099664688,Invariant,0.01975051872432232, dot,0.019142858684062958, INS,0.018846075981855392,滚滚,0.017843101173639297, forth,0.015025398693978786, oc,0.012751889415085316,ORY,0.012073246762156487, Allan,0.011610728688538074,صر,0.011520372703671455,问我,0.01000907365232706, forwards,0.01000907365232706,巩,0.00993118155747652, Eg,0.0092568788677454,izable,0.007979928515851498, lie,0.007322794292122126,_OVERRIDE,0.007322794292122126,眼前,0.007265807595103979, áp,0.0071531618013978004,0.7084069452248514
0,11, of,4.285385270110672, Почем,0.36317989230155945,vox,0.3306790590286255, приятн,0.025900786742568016,PH,0.011403962038457394, misc,0.01014289353042841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25869340635836124
0,12, Germany,7.499280101232253,一角,0.13986074924468994,谲,0.07845477014780045,殃,0.07032640278339386, Manufact,0.051451895385980606,EXP,0.04265512153506279,原件,0.034274350851774216,ifact,0.030484238639473915, fitted,0.021956972777843475,青山,0.0161900594830513,传出,0.015939056873321533,放出,0.013527303002774715,afe,0.01260883267968893,同期,0.011752724647521973, renders,0.010617700405418873,还会,0.009592292830348015, choking,0.00789040606468916,.Rendering,0.006644387263804674, fists,0.006193249952048063,垫,0.005909640341997147,fell,0.005727820098400116,0.40794202499091625
