prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,<s>,14.099897384643555,̧,0.0014103740686550736,tera,0.001381036825478077,Autow,0.0013625575229525566,STO,0.0013511109864339232,gan,0.0012901313602924347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9932047892361879
pos,orig,0,1,Give,14.557490348815918,amo,0.0005613424000330269,aux,0.0005378191126510501,inv,0.000433505279943347,models,0.0003767815651372075,bare,0.00037485468783415854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977156969544012
pos,orig,0,2,the,14.289803504943848,weg,0.001523057115264237,amo,0.001132708159275353,cord,0.0010896841995418072,requ,0.0010441929334774613,WO,0.0010183873819187284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9941919702105224
pos,orig,0,3,city,14.60867977142334,CLUDING,0.0008063873392529786,reck,0.0007155833882279694,etto,0.0005538130644708872,developing,0.0004136947391089052,Bit,0.000333492731442675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9971770287374966
pos,orig,0,4,name,14.57329273223877,amo,0.0006354431388899684,ever,0.0003725716087501496,inv,0.000362219667294994,ʲ,0.0003595719172153622,ogan,0.00035666313488036394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9979135305329692
pos,orig,0,5,only,14.430024147033691,amo,0.0011743680806830525,XXXX,0.0006874727550894022,auge,0.0005307759274728596,ogan,0.0004866149974986911,maps,0.00045108742779120803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966696808114648
pos,orig,0,6,",",14.367664337158203,weg,0.0014724790817126632,isha,0.0013271225616335869,inst,0.0008817503112368286,litt,0.0008003605762496591,rat,0.0007501811487600207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9947681063204072
pos,orig,0,7,plain,14.597777366638184,amo,0.0008255857392214239,ʲ,0.00044812759733758867,zon,0.000429921637987718,qq,0.00033894763328135014,kv,0.00032751201069913805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976299053814728
pos,orig,0,8,text,14.58692455291748,amo,0.0005997425178065896,CLUDING,0.0005775860627181828,fos,0.00048426465946249664,Bit,0.0004240042471792549,gau,0.00034563595545478165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9975687665573787
pos,orig,0,9,.,14.461109161376953,isha,0.001275845686905086,weg,0.000874140823725611,sdk,0.0008736359886825085,ois,0.0006961823091842234,resh,0.0006678553763777018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9956123398151249
pos,orig,0,10,The,14.515044212341309,amo,0.000990459113381803,reck,0.00067234126618132,干,0.0006452911184169352,weg,0.000586751673836261,inst,0.0004816570144612342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966234998137224
pos,orig,0,11,capital,14.597650527954102,etto,0.0008456462528556585,ismo,0.0005114953964948654,litt,0.000494563952088356,aux,0.0004088774148840457,reck,0.00040373567026108503,Bit,0.00037698374944739044,fins,0.00036576049751602113,stre,0.00034115550806745887,inv,0.0003201841900590807,models,0.00031913077691569924,Reb,0.00031563927768729627,phase,0.000301307940389961,zon,0.00029727647779509425,inter,0.00029618508415296674,models,0.0002914110664278269,Models,0.00028609446599148214,CLUDING,0.000284673209534958,sdk,0.00028216198552399874,ieb,0.00027775642229244113,gs,0.0002636749413795769,0.9927162857202347
pos,orig,0,12,of,14.242722511291504,isha,0.0016214849893003702,Backup,0.0015774494968354702,inst,0.0012005041353404522,litt,0.0011251630494371057,ivery,0.0009732932667247951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935021050623618
pos,orig,0,13,Germany,14.616816520690918,isha,0.0004871209093835205,Backup,0.00044586401781998575,CLUDING,0.0004036921600345522,autre,0.0003891008673235774,³,0.0003645540273282677,ladies,0.0003522127808537334,Chron,0.00029417499899864197,run,0.0002811382873915136,erten,0.0002753242151811719,mc,0.0002745918754953891,anza,0.00027403791318647563,inz,0.0002673502021934837,lets,0.0002611186937429011,litt,0.0002603102766443044,imagination,0.0002508237666916102,legs,0.00024907063925638795,suff,0.00024897349067032337,点,0.00024459906853735447,aux,0.00024187620147131383,run,0.00023798816255293787,0.9938960774452426
