prompt_id,prompt_variant,layer,pos,token,entropy,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,copy_strict@0.95,copy_soft_k1@0.5,copy_soft_k2@0.5,copy_soft_k3@0.5,entropy_collapse,is_answer,p_top1,p_top5,p_answer,kl_to_final_bits,answer_rank,cos_to_final,control_margin
pos,orig,0,15,⟨NEXT⟩,17.214244842529297,s,6.8847998591081705e-06,l,6.878453405079199e-06,i,6.875896815472515e-06,o,6.867708179925103e-06,y,6.856481832073769e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999656366599083,False,False,False,False,False,False,False,6.8847998591081705e-06,3.4363340091658756e-05,6.586356903426349e-06,9.391030098691251,67377,0.5884459614753723,
pos,orig,1,15,⟨NEXT⟩,17.214153289794922,下一篇,7.176229701144621e-06,.myapplication,7.139428817026783e-06,有的玩家,7.119022484403104e-06,.mvp,7.073937467794167e-06,.timedelta,7.069329512887634e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999644220520167,False,False,False,False,False,False,False,7.176229701144621e-06,3.557794843800366e-05,6.606012902921066e-06,9.401525167977503,54952,-0.02098410204052925,
pos,orig,2,15,⟨NEXT⟩,17.14251708984375,ولوج,9.678963397163898e-05,ستحق,9.573882562108338e-05,شدد,9.290335583500564e-05,نجح,8.285212243208662e-05,有意思的,6.910668889759108e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995626093732426,False,False,False,False,False,False,False,9.678963397163898e-05,0.00043739061220549047,6.5321878537361044e-06,9.655952862010926,68558,-0.4043509364128113,
pos,orig,3,15,⟨NEXT⟩,17.063066482543945,شدد,0.00013430679973680526,ستحق,0.00011768368858611211,ولوج,0.00011755578452721238,نجح,0.00011242274194955826,.myapplication,9.630561544327065e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999421725369757,False,False,False,False,False,False,False,0.00013430679973680526,0.0005782746011391282,4.82068617202458e-06,10.263763627731212,99837,-0.6909146308898926,
pos,orig,4,15,⟨NEXT⟩,17.08905792236328,.myapplication,0.0001303844474023208,نجح,0.00012794283975381404,ستحق,0.00012561678886413574,شدد,0.000111673231003806,ولوج,0.00010647429735399783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993979083956219,False,False,False,False,False,False,False,0.0001303844474023208,0.0006020916625857353,5.718201919080457e-06,10.070731676264003,79897,-0.642657458782196,
pos,orig,5,15,⟨NEXT⟩,17.007232666015625,ستحق,0.00019868738309014589,.myapplication,0.0001810243702493608,نجح,0.00015774961502756923,شدد,0.00013620157551486045,ناقش,0.00012404921289999038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992022878432181,False,False,False,False,False,False,False,0.00019868738309014589,0.0007977121858857572,5.1266611080791336e-06,10.416230375304712,82687,-0.6799936890602112,
pos,orig,6,15,⟨NEXT⟩,17.0314998626709,.myapplication,0.000126414728583768,شدد,0.00010801574535435066,ولوج,9.823573782341555e-05,ستحق,9.726427379064262e-05,نجح,9.516898717265576e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994749005272752,False,False,False,False,False,False,False,0.000126414728583768,0.0005250994581729174,4.60012097391882e-06,10.409073145306406,100064,-0.7021790146827698,
pos,orig,7,15,⟨NEXT⟩,16.937192916870117,.myapplication,0.0002178626018576324,شدد,0.0001820186007535085,ستحق,0.00017639921861700714,ولوج,0.0001735493278829381,نجح,0.00015105416241567582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990991160884732,False,False,False,False,False,False,False,0.0002178626018576324,0.0009008839842863381,4.398674263939029e-06,10.686701298941221,91912,-0.7014496922492981,
pos,orig,8,15,⟨NEXT⟩,16.79804229736328,.myapplication,0.00031055277213454247,有期徒,0.00030017821700312197,ستحق,0.0002509905898477882,かもしれ,0.00022237574739847332,のではない,0.00020756194135174155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987083407322643,False,False,False,False,False,False,False,0.00031055277213454247,0.0012916593113914132,3.7686238556489116e-06,11.114176560411593,92757,-0.7155046463012695,
pos,orig,9,15,⟨NEXT⟩,16.120342254638672,ستحق,0.0024206796661019325,.myapplication,0.0021263062953948975,有期徒,0.0019199044909328222,ولوج,0.0017345951637253165,اقتص,0.0013936135219410062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990404900861904,False,False,False,False,False,False,False,0.0024206796661019325,0.009595098905265331,2.3538812001788756e-06,12.413889352956838,88804,-0.7065767049789429,
pos,orig,10,15,⟨NEXT⟩,16.500808715820312,.myapplication,0.0008579478599131107,有期徒,0.0007726620533503592,かもしれ,0.0006596860475838184,ولوج,0.0005268502281978726,のではない,0.0005097754183225334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966730783926323,False,False,False,False,False,False,False,0.0008579478599131107,0.003326921723783016,2.792270379359252e-06,11.783436727285162,95769,-0.716065526008606,
pos,orig,11,15,⟨NEXT⟩,16.718040466308594,.myapplication,0.00039041589479893446,かもしれ,0.0003620666975621134,有期徒,0.0003324623394291848,のではない,0.000291307718725875,ستحق,0.0002837078063748777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998340039543109,False,False,False,False,False,False,False,0.00039041589479893446,0.0016599604859948158,4.082106897840276e-06,11.27248865432262,79022,-0.7087167501449585,
pos,orig,12,15,⟨NEXT⟩,16.77808952331543,かもしれ,0.00031018396839499474,.myapplication,0.0002833699982147664,のではない,0.0002515785745345056,ستحق,0.00023683946346864104,有期徒,0.00022693522623740137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986910927691497,False,False,False,False,False,False,False,0.00031018396839499474,0.00130890728905797,3.979738721682224e-06,11.115568244022375,86422,-0.703359067440033,
pos,orig,13,15,⟨NEXT⟩,16.63144302368164,かもしれ,0.00044790515676140785,.myapplication,0.00040769416955299675,のではない,0.00038349887472577393,有期徒,0.00035820744233205914,iéndo,0.0002904892899096012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981122050667182,False,False,False,False,False,False,False,0.00044790515676140785,0.001887794816866517,3.410338422327186e-06,11.522980697373697,87138,-0.7159309387207031,
