prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,copy_strict@0.95,copy_strict@0.7,copy_strict@0.8,copy_strict@0.9,copy_soft_k1@0.5,copy_soft_k2@0.5,copy_soft_k3@0.5,entropy_collapse,is_answer,p_top1,p_top5,p_answer,teacher_entropy_bits,kl_to_final_bits,kl_to_final_bits_norm_temp,answer_rank,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,cos_to_final,cos_to_answer,cos_to_prompt_max,geom_crossover,echo_mass_prompt,answer_mass,answer_minus_echo_mass,mass_ratio_ans_over_prompt,topk_prompt_mass@50,control_margin,resid_norm_ratio,delta_resid_cos,answer_logit_gap,answer_vs_top1_gap
pos,orig,0,16,⟨NEXT⟩,15.962334632873535,15.962334632873535, Denote,2.174902692786418e-05,npred,2.0998557374696247e-05,erity,2.0746529116877355e-05,密切,2.067410241579637e-05,insula,2.0409952412592247e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998954218317522,False,False,False,False,False,False,False,False,False,False,2.174902692786418e-05,0.0001045781682478264,1.54758345161099e-05,2.9413731863561847,12.00756176616716,11.992951496011063,34634,0.010101010101010102,,0.16163143515586853,-0.00312488479539752,0.017918240278959274,False,0.00022487848036689684,1.54758345161099e-05,-0.00020940264585078694,0.0688183487922538,0.0,,6.139865875244141,0.5716543197631836,,-0.34028931707143784
pos,orig,1,16,⟨NEXT⟩,15.941789627075195,15.941789627075195,.,5.036619768361561e-05,ODM,4.161410470260307e-05,••,3.911902604158968e-05,",",3.896795533364639e-05, ,3.870156069751829e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999791231155541,False,False,False,False,False,False,False,False,False,False,5.036619768361561e-05,0.00020876884809695184,1.4252655091695487e-05,2.9413731863561847,12.07525413754676,12.801532744556782,49771,0.8181818181818182,0.0,0.3396207392215729,-0.020612919703125954,0.023872163146734238,False,0.00022078717120166402,1.4252655091695487e-05,-0.00020653451610996854,0.06455352664105073,0.0,,0.8820286393165588,0.9694123268127441,,-1.2623770385980606
pos,orig,2,16,⟨NEXT⟩,15.932029724121094,15.932029724121094,.,6.985654908930883e-05,ODM,5.803205567644909e-05,MTI,5.109267294756137e-05,",",4.907049151370302e-05,MTY,4.8551835789112374e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997233963949839,False,False,False,False,False,False,False,False,False,False,6.985654908930883e-05,0.00027660359046421945,1.4027582437847741e-05,2.9413731863561847,12.08634633059681,12.926722355772837,49039,0.7241379310344828,0.8181818181818182,0.3525082468986511,-0.020350877195596695,0.023574091494083405,False,0.00022280024586507352,1.4027582437847741e-05,-0.00020877266342722578,0.06296007180472735,0.0,,0.8123776316642761,0.9600231647491455,,-1.6054183393716812
pos,orig,3,16,⟨NEXT⟩,15.83913803100586,15.83913803100586,MTY,0.00011592909868340939,nexper,0.00010938800551230088,MTQ,0.0001077148481272161,***\\,0.00010567347635515034,('\\\\,0.00010156383359571919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994597307377262,False,False,False,False,False,False,False,False,False,False,0.00011592909868340939,0.0005402692477218807,1.1510261174407788e-05,2.9413731863561847,13.064828551999293,12.220567094774973,45358,0.0989010989010989,0.1111111111111111,-0.7283743619918823,0.0007857257733121514,0.008876614272594452,False,8.195800137400511e-05,1.1510261174407788e-05,-7.044774019959732e-05,0.140439255987061,0.0,,2.070444107055664,0.8474624752998352,,-2.3097398933023214
pos,orig,4,16,⟨NEXT⟩,15.825944900512695,15.825944900512695,MTY,0.0001412353158229962,MTQ,0.00012613667058758438,nexper,0.00011770109267672524,XFF,0.00011657593859126791,***\\,0.00011501702101668343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993833339613047,False,False,False,False,False,False,False,False,False,False,0.0001412353158229962,0.0006166659877635539,1.0998478501278441e-05,2.9413731863561847,13.114234352077954,12.228223762391385,46448,0.0989010989010989,0.8867924528301887,-0.7205730676651001,-0.00014289951650425792,0.007311983499675989,False,7.785394382153754e-05,1.0998478501278441e-05,-6.68554653202591e-05,0.14126885155154215,0.0,,2.098860263824463,0.8477063179016113,,-2.5526705142110586
pos,orig,5,16,⟨NEXT⟩,15.86352825164795,15.86352825164795,MTY,0.0001106511554098688,MTQ,0.000102179117675405,nexper,9.29650996113196e-05,XFF,8.912633347790688e-05,MTU,8.418990910286084e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995208883847226,False,False,False,False,False,False,False,False,False,False,0.0001106511554098688,0.00047911162255331874,1.1991302926617209e-05,2.9413731863561847,12.913576001940884,12.192438988261058,45087,0.1111111111111111,0.7543859649122807,-0.6976001262664795,0.00031942088389769197,0.008868101984262466,False,9.23233121739031e-05,1.1991302926617209e-05,-8.03320092472859e-05,0.12988239656776707,0.0,,1.711327075958252,0.8397740721702576,,-2.222200946882367
pos,orig,6,16,⟨NEXT⟩,15.829477310180664,15.829477310180664,MTQ,0.00015065097250044346,MTY,0.00014893371553625911,nexper,0.00013051231508143246,~\\\\,0.00011126051686005667,gettable,0.00010577424109214917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993528682389297,False,False,False,False,False,False,False,False,False,False,0.00015065097250044346,0.0006471317610703409,1.1000569429597817e-05,2.9413731863561847,12.975484252806668,12.198707411919706,46456,0.0989010989010989,0.6949152542372882,-0.6426541805267334,-0.0011399724753573537,0.00892754178494215,False,8.795104531600373e-05,1.1000569429597817e-05,-7.695047588640591e-05,0.1250746289079892,0.0,,1.7874596118927002,0.8181809186935425,,-2.617018662393093
pos,orig,7,16,⟨NEXT⟩,15.862339973449707,15.862339973449707,MTY,0.000109316453745123,~\\\\,0.00010332799865864217,MTU,9.965826029656455e-05,MTQ,9.275510092265904e-05,审理终结,8.829202124616131e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995066501651308,False,False,False,False,False,False,False,False,False,False,0.000109316453745123,0.0004933498566970229,1.2321604117460083e-05,2.9413731863561847,12.805678214373179,12.168650347993715,42876,0.0989010989010989,0.639344262295082,-0.6138248443603516,0.00024478998966515064,0.010073967278003693,False,0.00010499533959773544,1.2321604117460083e-05,-9.267373548027535e-05,0.11735270167195272,0.0,,1.3928502798080444,0.8080321550369263,,-2.182892829179764
pos,orig,8,16,⟨NEXT⟩,15.872594833374023,15.872594833374023,其特征是,0.0001010230989777483,~\\\\,9.989309910451993e-05,MTY,9.400388080393896e-05,审理终结,9.229546412825584e-05,AULT,9.094487904803827e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995218395779375,False,False,False,False,False,False,False,False,False,False,0.0001010230989777483,0.0004781604220625013,1.2983057786186691e-05,2.9413731863561847,12.753363843703127,12.159145898776433,40206,0.07526881720430108,0.7543859649122807,-0.6060158014297485,0.0012880414724349976,0.010494474321603775,False,0.00011223909586988157,1.2983057786186691e-05,-9.925603808369488e-05,0.11567219081172005,0.0,,1.1815494298934937,0.7976203560829163,,-2.0517038218677044
pos,orig,9,16,⟨NEXT⟩,15.836424827575684,15.836424827575684,审理终结,0.00012739046360366046,MTY,0.00011940365220652893,~\\\\,0.00011776993051171303,gettable,0.00011740552872652188,AULT,0.0001151316100731492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994028988148784,False,False,False,False,False,False,False,False,False,False,0.00012739046360366046,0.0005971011705696583,1.2218140909681097e-05,2.9413731863561847,12.86378496072429,12.176002950283403,41150,0.08695652173913043,0.6666666666666666,-0.5870804786682129,0.0008112126961350441,0.010645879432559013,False,0.0001054948731962213,1.2218140909681097e-05,-9.327673228654021e-05,0.11581629251938104,0.0,,1.2508056163787842,0.7973811030387878,,-2.3443350568413734
