layer,js_divergence,kl_raw_to_norm_bits,l1_prob_diff,topk_jaccard_raw_norm@50,lens_artifact_score_v2,risk_tier
_summary,0.006253366611154972,0.018590401495135685,0.029199423268437386,0.639344262295082,0.590568657775208,high
0,3.861552796109392e-07,1.031482176237031e-06,1.4879651644150726e-06,0.26582278481012656,,
1,2.389879900991212e-07,3.1347266698441826e-06,9.720995421957923e-07,0.19047619047619047,,
2,0.00010862947083465664,0.0013310491453888361,0.0004548047436401248,0.25,,
3,2.8117634792196417e-05,0.00015711859049391742,0.00021191372070461512,0.9607843137254902,,
4,0.00014696734181890886,0.0008111091462883416,0.001140819163993001,0.9230769230769231,,
5,4.955044387020507e-05,0.0002509321768859606,0.0005605780170299113,0.9607843137254902,,
6,0.0022396287872464447,0.0076900228453784065,0.0226811021566391,0.9607843137254902,,
7,7.939904313132505e-06,3.0474868589063697e-05,0.0007067202823236585,1.0,,
8,0.003026957973016853,0.008974017772623709,0.015060092322528362,0.8867924528301887,,
9,0.0036247907453678153,0.010700350062466465,0.01529424637556076,0.8181818181818182,,
10,0.011721790967627486,0.035410069616987894,0.06144675984978676,0.9607843137254902,,
11,0.016484188417247872,0.0509932698140764,0.08671397715806961,0.9607843137254902,,
12,0.003532970484505899,0.01047819953490119,0.01743125170469284,0.5873015873015873,,
13,0.007213736544175333,0.0288029610614419,0.029636243358254433,0.4084507042253521,,
14,0.006253366611154972,0.018590401495135685,0.029199423268437386,0.6666666666666666,,
15,0.034040469653468394,0.10241745290880525,0.1567533016204834,0.6129032258064516,,
16,0.25142989131852145,0.8453808063074613,0.8638262748718262,0.4084507042253521,,
17,0.24757232583412647,1.4101749274286404,0.5872957706451416,0.4084507042253521,,
18,0.19169324926180908,0.5968434320747652,0.6896194219589233,0.4084507042253521,,
19,0.06734100813665984,0.255850936460637,0.2598567008972168,0.3888888888888889,,
20,0.20685818496477032,0.7968197850098386,0.6602509617805481,0.35135135135135137,,
21,0.08497240078022301,0.27835963884459697,0.3249206244945526,0.42857142857142855,,
22,0.9936772325715151,11.405059760913707,1.9978923797607422,0.4084507042253521,,
23,0.9179976859162057,19.702497586188187,1.9176431894302368,0.47058823529411764,,
24,0.996720981526485,20.77265894325141,1.998595952987671,0.47058823529411764,,
25,0.19759024413917148,0.6176005341553502,0.7182419300079346,0.6129032258064516,,
26,0.23837438732188662,0.8042126312398273,0.7292199730873108,0.5873015873015873,,
27,0.13221072232066222,0.42452567301675037,0.5881532430648804,0.6129032258064516,,
28,0.8314319384309197,5.410728636564435,1.890722393989563,0.639344262295082,,
29,0.028563042576259363,0.08319166285367137,0.11242122203111649,0.6949152542372882,,
30,0.009159788427121852,0.026507667166882257,0.036457885056734085,0.6666666666666666,,
31,0.002469203834401273,0.007130050693205251,0.009861933998763561,0.7241379310344828,,
32,0.003173828133721157,0.009184655539689623,0.012779946438968182,0.6949152542372882,,
33,0.001457191659736455,0.004305844981941169,0.006827670615166426,0.7543859649122807,,
34,0.004838632538530995,0.014023011209665983,0.019558420404791832,0.6666666666666666,,
35,0.0009450214681477249,0.002729223253770872,0.0037873932160437107,0.6949152542372882,,
36,0.002963994184005857,0.008817488031663816,0.013697144575417042,0.7543859649122807,,
37,0.0039053327419371624,0.011367378727572798,0.0160566084086895,0.7857142857142857,,
38,0.001414365250454744,0.004083320257748822,0.005653764121234417,0.8181818181818182,,
39,0.0021536374198270884,0.00621799780796889,0.00860147550702095,0.639344262295082,,
40,0.0016280720008987996,0.004699677190730241,0.006504591554403305,0.28205128205128205,,
41,0.010319767235866127,0.029862943883287786,0.04097332805395126,0.2987012987012987,,
42,0.8136986783134672,3.838576062995604,1.860201358795166,0.25,,
