prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass,copy_collapse,copy_strict@0.95,copy_strict@0.7,copy_strict@0.8,copy_strict@0.9,copy_soft_k1@0.5,copy_soft_k2@0.5,copy_soft_k3@0.5,entropy_collapse,is_answer,p_top1,p_top5,p_answer,teacher_entropy_bits,kl_to_final_bits,kl_to_final_bits_norm_temp,answer_rank,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,cos_to_final,cos_to_answer,cos_to_prompt_max,geom_crossover,echo_mass_prompt,answer_mass,answer_minus_echo_mass,mass_ratio_ans_over_prompt,topk_prompt_mass@50,control_margin,resid_norm_ratio,delta_resid_cos,answer_logit_gap,answer_vs_top1_gap
pos,orig,1,16,⟨NEXT⟩,11.464098930358887,11.464098930358887, the,0.03766050562262535,",",0.037280790507793427,.,0.028698183596134186, of,0.026213282719254494, and,0.023297706618905067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8468495309352875,False,False,False,False,False,False,False,False,False,False,0.03766050562262535,0.15315046906471252,6.86225894241943e-06,2.961002254229761,7.5171250210857785,,10766,,,0.46003884077072144,0.03160436451435089,0.30215156078338623,False,0.07939677144258894,6.86225894241943e-06,-0.07938990918364652,8.642994836322176e-05,0.07443772628903389,,,,,-8.61033010482788
pos,orig,2,16,⟨NEXT⟩,11.201549530029297,11.201549530029297,",",0.040537621825933456, the,0.03763406723737717, of,0.03214643895626068,.,0.031686317175626755, and,0.019473828375339508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8385217264294624,False,False,False,False,False,False,False,False,False,False,0.040537621825933456,0.16147828102111816,7.675291271880269e-06,2.961002254229761,7.48712436746927,,9313,,,0.45498791337013245,0.029520373791456223,0.22411741316318512,False,0.08594367660407443,7.675291271880269e-06,-0.08593600131280255,8.930606050207465e-05,0.08055585622787476,,,,,-8.571979761123657
pos,orig,3,16,⟨NEXT⟩,10.707703590393066,10.707703590393066,.,0.047881416976451874,",",0.04172004386782646, the,0.03420944884419441, of,0.032057374715805054, and,0.02264518477022648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8214865308254957,False,False,False,False,False,False,False,False,False,False,0.047881416976451874,0.17851346731185913,6.346935606416082e-06,2.961002254229761,7.336305901621639,,9672,,,0.4576064646244049,0.031068207696080208,0.23335705697536469,False,0.08183758271161423,6.346935606416082e-06,-0.08183123577600782,7.755526640158288e-05,0.07809619349427521,,,,,-8.928510308265686
pos,orig,4,16,⟨NEXT⟩,11.091835021972656,11.091835021972656,.,0.039255790412425995,",",0.03572852537035942, the,0.03382989391684532, to,0.03153448924422264, and,0.02645190805196762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833199393004179,False,False,False,False,False,False,False,False,False,False,0.039255790412425995,0.1668006181716919,6.272955033637118e-06,2.961002254229761,7.404655246727536,,10916,,,0.4623785614967346,0.026743289083242416,0.23528873920440674,False,0.07698466023521178,6.272955033637118e-06,-0.07697838728017814,8.148318032434167e-05,0.0735282520763576,,,,,-8.741606950759888
pos,orig,5,16,⟨NEXT⟩,10.630122184753418,10.630122184753418,.,0.05769021064043045, the,0.04669472575187683,",",0.04278501123189926, to,0.030346032232046127, of,0.02826029248535633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794223727658391,False,False,False,False,False,False,False,False,False,False,0.05769021064043045,0.20577627420425415,6.565985131601337e-06,2.961002254229761,7.183762105820551,,9760,,,0.45228898525238037,0.02784096822142601,0.2227109968662262,False,0.08956651828884787,6.565985131601337e-06,-0.08955995230371627,7.330847713782802e-05,0.08434045407921076,,,,,-9.0809406042099
pos,orig,6,16,⟨NEXT⟩,10.929411888122559,10.929411888122559, the,0.05352155864238739,.,0.040341440588235855,",",0.03947162255644798, to,0.02718939632177353, of,0.02642965503036976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8130463268607855,False,False,False,False,False,False,False,False,False,False,0.05352155864238739,0.18695366382598877,5.5281102504523005e-06,2.961002254229761,7.38330394458822,,11824,,,0.44956493377685547,0.02210449054837227,0.22615596652030945,False,0.09477816185267329,5.5281102504523005e-06,-0.09477263374242284,5.8326834832675554e-05,0.09101369325071573,,,,,-9.177993774414062
pos,orig,7,16,⟨NEXT⟩,10.252873420715332,10.252873420715332, the,0.0719558447599411,.,0.04586406424641609,",",0.04179361090064049, in,0.027629157528281212, to,0.02596977725625038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7867875453084707,False,False,False,False,False,False,False,False,False,False,0.0719558447599411,0.21321244537830353,5.087690624350216e-06,2.961002254229761,6.948804223726007,,10728,,,0.45394301414489746,0.025373738259077072,0.23851189017295837,False,0.11023401326906423,5.087690624350216e-06,-0.11022892557843988,4.6153545782447404e-05,0.10613614541944116,,,,,-9.556983888149261
pos,orig,8,16,⟨NEXT⟩,11.33254623413086,11.33254623413086, the,0.054644640535116196,.,0.029494544491171837, to,0.026699034497141838,",",0.023378077894449234, of,0.016678854823112488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8491048477590084,False,False,False,False,False,False,False,False,False,False,0.054644640535116196,0.1508951485157013,1.0212925189989619e-05,2.961002254229761,7.455011078969563,,7832,,,0.4537062346935272,0.03521963208913803,0.21322719752788544,False,0.08858247368789307,1.0212925189989619e-05,-0.08857226076270308,0.0001152928412304275,0.08439197693951428,,,,,-8.584952235221863
pos,orig,9,16,⟨NEXT⟩,10.785871505737305,10.785871505737305, the,0.058525506407022476,",",0.03291971981525421, to,0.02719639055430889, in,0.025556808337569237,.,0.02464364841580391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8311579264700413,False,False,False,False,False,False,False,False,False,False,0.058525506407022476,0.16884206235408783,1.510510719526792e-05,2.961002254229761,7.2808249863839,,5073,,,0.4568158984184265,0.04999465122818947,0.21867750585079193,False,0.09537501853810681,1.510510719526792e-05,-0.09535991343091155,0.00015837592766345613,0.09084829408675432,,,,,-8.262184858322144
pos,orig,10,16,⟨NEXT⟩,9.891520500183105,9.891520500183105, the,0.07928071171045303,",",0.04804932326078415,.,0.042380016297101974, to,0.03186427056789398, of,0.02600375935435295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7724219188094139,False,False,False,False,False,False,False,False,False,False,0.07928071171045303,0.2275780737400055,8.418238394369837e-06,2.961002254229761,6.849383117054027,,6929,,,0.4469878375530243,0.03749628737568855,0.22095315158367157,False,0.12342588439355495,8.418238394369837e-06,-0.12341746615516058,6.820480458801247e-05,0.12140523956622928,,,,,-9.150349736213684
