fact_key,fact_index,prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
Germany→Berlin,0,pos,orig,0,3.135347651550546e-05,19250,/******/,3.12329430016689e-05,25519,4.45477562607266e-05,28395,dabei,3.208026464562863e-05,11180,0.004316028571836106,0.004315927464848,0.0010782939775965008,14.96144772226952,14.96578718851609,11.350404018434809,0.060879308730363846,0.05263157894736842,,False
Germany→Berlin,0,pos,orig,1,3.141644629067741e-05,30597,,3.1212486646836624e-05,26550,0.0001193326897919178,17149,biologie,2.749821032921318e-05,21847,0.03644623284168928,0.03609467880549434,0.008998689893142993,14.92904894256938,14.965781685071262,11.318005238734669,0.17509207129478455,0.14942528735632185,0.010101010101010102,False
Germany→Berlin,0,pos,orig,2,3.147241659462452e-05,4604,",",3.120135443168692e-05,26557,0.0003075046988669783,4604,",",1.7862155800685287e-05,27602,0.1395264934507752,0.13671006256458312,0.0336176664296957,14.825355786849968,14.965784436793676,11.214312083015257,0.34039437770843506,0.21951219512195122,0.1111111111111111,False
Germany→Berlin,0,pos,orig,3,3.166856549796648e-05,27519,eston,3.11813346343115e-05,25779,0.0001881774514913559,22819,[…],2.2316893591778353e-05,25435,0.08755922676582648,0.0861764593806003,0.021336080331100148,14.877055147560537,14.965780309210055,11.266011443725825,0.2693963050842285,0.26582278481012656,0.17647058823529413,False
Germany→Berlin,0,pos,orig,4,3.18066704494413e-05,15389,kennis,3.117516098427586e-05,24149,0.000328941474435851,22819,[…],2.1496674889931455e-05,25144,0.11012756413397311,0.10834367408789862,0.02672422691468003,14.853809972469918,14.965777557487641,11.242766268635206,0.3030238151550293,0.25,0.35135135135135137,False
Germany→Berlin,0,pos,orig,5,3.223915700800717e-05,22819,[…],3.121823101537302e-05,18783,0.0010920463828369975,22819,[…],2.3087148292688653e-05,22231,0.13650030822402456,0.13233183572807453,0.032563144057014715,14.826517013708594,14.965766550597987,11.215473309873882,0.33399075269699097,0.3698630136986301,0.3698630136986301,False
Germany→Berlin,0,pos,orig,6,3.2526968425372615e-05,22819,[…],3.1262832635547966e-05,14909,0.0010619949316605926,22819,[…],2.6202415028819814e-05,19005,0.12476456684336391,0.12142987698771245,0.02988552198067137,14.837771558381057,14.965759671291952,11.226727854546345,0.3199812173843384,0.3698630136986301,0.3698630136986301,False
Germany→Berlin,0,pos,orig,7,3.25227010762319e-05,22819,[…],3.130578261334449e-05,12644,0.0007455924060195684,22819,[…],2.7679430786520243e-05,16499,0.15654085533870532,0.153279946040274,0.037495427783036904,14.804939382400743,14.96575141612471,11.193895678566031,0.35804182291030884,0.3698630136986301,0.28205128205128205,False
Germany→Berlin,0,pos,orig,8,3.269307853770442e-05,22819,[…],3.13328746415209e-05,11918,0.0010417059529572725,22819,[…],3.0319130019051954e-05,14140,0.13983901817413996,0.136632799358683,0.033508208877722746,14.821021824048225,14.96573352992902,11.209978120213513,0.3391478657722473,0.4084507042253521,0.26582278481012656,False
Germany→Berlin,0,pos,orig,9,3.269839726272039e-05,15389,kennis,3.128589742118493e-05,14375,0.0008096365490928292,22819,[…],2.759129711193964e-05,16025,0.1840106875075263,0.18128551491544834,0.04403518766378213,14.775530349103203,14.965725274761779,11.164486645268491,0.39117974042892456,0.42857142857142855,0.42857142857142855,False
