fact_key,fact_index,prompt_id,prompt_variant,layer,lens,p_top1,top1_token_id,top1_token_str,p_answer,answer_rank,kl_norm_vs_raw_bits
Germany→Berlin,0,pos,orig,0,norm,0.9999992847442627,6574, simply,0.0,1468,1.0364568464488179e-05
Germany→Berlin,0,pos,orig,0,raw,1.0,6574, simply,0.0,22,1.0364568464488179e-05
Germany→Berlin,0,pos,orig,1,norm,1.0,6574, simply,0.0,17,6.693008280324022e-07
Germany→Berlin,0,pos,orig,1,raw,0.9999995231628418,6574, simply,0.0,107,6.693008280324022e-07
Germany→Berlin,0,pos,orig,2,norm,0.9999984502792358,6574, simply,0.0,21,0.0003171747840645718
Germany→Berlin,0,pos,orig,2,raw,0.9997710585594177,6574, simply,0.0,2492,0.0003171747840645718
Germany→Berlin,0,pos,orig,3,norm,0.999974250793457,6574, simply,0.0,2247,9.225573890474469e-05
Germany→Berlin,0,pos,orig,3,raw,0.9998682737350464,6574, simply,3.783505853677006e-44,85076,9.225573890474469e-05
Germany→Berlin,0,pos,orig,4,norm,0.9998505115509033,6574, simply,5.885453550164232e-43,26470,0.0004842284902512428
Germany→Berlin,0,pos,orig,4,raw,0.9992801547050476,6574, simply,4.637699562470878e-38,64064,0.0004842284902512428
Germany→Berlin,0,pos,orig,38,norm,0.9971730709075928,664," """,9.750852706378373e-15,215,0.07071594461984212
Germany→Berlin,0,pos,orig,38,raw,1.0,664," """,0.0,60,0.07071594461984212
Germany→Berlin,0,pos,orig,39,norm,0.9956992864608765,664," """,1.4577695102597625e-16,503,0.12273634319499177
Germany→Berlin,0,pos,orig,39,raw,1.0,664," """,0.0,41,0.12273634319499177
Germany→Berlin,0,pos,orig,40,norm,0.9967477321624756,664," """,2.1467810761352643e-15,280,0.11315020221854968
Germany→Berlin,0,pos,orig,40,raw,1.0,664," """,0.0,23,0.11315020221854968
Germany→Berlin,0,pos,orig,41,norm,0.9795133471488953,664," """,1.4528855549200692e-11,240,0.8314741171760437
Germany→Berlin,0,pos,orig,41,raw,1.0,664," """,0.0,24,0.8314741171760437
Germany→Berlin,0,pos,orig,42,norm,0.9297690391540527,12514, Berlin,0.9297690391540527,1,92.31592825485221
Germany→Berlin,0,pos,orig,42,raw,1.0,664," """,0.0,34,92.31592825485221
Germany→Berlin,0,pos,no_filler,0,norm,1.0,3151, called,1.314277829690246e-41,16727,1.0183446992643455e-09
Germany→Berlin,0,pos,no_filler,0,raw,1.0,3151, called,0.0,100,1.0183446992643455e-09
Germany→Berlin,0,pos,no_filler,1,norm,1.0,3151, called,0.0,65,-6.124537282257887e-12
Germany→Berlin,0,pos,no_filler,1,raw,1.0,3151, called,3.363116314379561e-44,118874,-6.124537282257887e-12
Germany→Berlin,0,pos,no_filler,2,norm,1.0,3151, called,0.0,79,8.20285812612477e-05
Germany→Berlin,0,pos,no_filler,2,raw,0.9999431371688843,3151, called,3.7995580078455397e-38,180453,8.20285812612477e-05
Germany→Berlin,0,pos,no_filler,3,norm,0.999991774559021,3151, called,3.0893025944504917e-41,198753,0.00026222863645125735
Germany→Berlin,0,pos,no_filler,3,raw,0.9997857213020325,3151, called,5.414826909369666e-35,224572,0.00026222863645125735
Germany→Berlin,0,pos,no_filler,4,norm,0.9999932050704956,3151, called,4.654163698387923e-38,90322,0.00021301430613577805
Germany→Berlin,0,pos,no_filler,4,raw,0.9998260140419006,3151, called,8.642876757358747e-31,122021,0.00021301430613577805
Germany→Berlin,0,pos,no_filler,5,norm,0.9999597072601318,3151, called,6.211735247713936e-38,108924,0.0007060061648039039
Germany→Berlin,0,pos,no_filler,5,raw,0.9993601441383362,3151, called,1.1131006484153305e-27,142882,0.0007060061648039039
Germany→Berlin,0,pos,no_filler,6,norm,0.9985393285751343,3151, called,1.1036029248945848e-27,163673,0.0004781283126516451
Germany→Berlin,0,pos,no_filler,6,raw,0.9984283447265625,3151, called,3.529884461415769e-27,175604,0.0004781283126516451
Germany→Berlin,0,pos,no_filler,7,norm,0.9998370409011841,3151, called,1.5997895069493325e-31,135036,0.00040250704560943607
Germany→Berlin,0,pos,no_filler,7,raw,0.9993577599525452,3151, called,8.05551969380324e-26,139154,0.00040250704560943607
Germany→Berlin,0,pos,no_filler,8,norm,0.9947580695152283,3151, called,1.2893488774475653e-20,120204,0.016083417111580824
Germany→Berlin,0,pos,no_filler,8,raw,0.9997571110725403,3151, called,6.471850858211982e-25,111770,0.016083417111580824
Germany→Berlin,0,pos,no_filler,34,norm,0.5390099287033081,235248, ,1.1709705254048242e-11,157,5.1168966215306275
Germany→Berlin,0,pos,no_filler,34,raw,0.9322105050086975,235248, ,4.174285956423268e-40,360,5.1168966215306275
Germany→Berlin,0,pos,no_filler,35,norm,0.6454514861106873,235248, ,4.768590578831111e-13,230,4.4353541416630415
Germany→Berlin,0,pos,no_filler,35,raw,0.9997568726539612,235248, ,8.547920632381384e-44,354,4.4353541416630415
